LETRA ORIGINAL                                                            TRADUCCIÓN CHATGPT                                                TRADUCCIÓN FINAL
When you have a problem, you come home (9)                                Cuando tienes un problema, vienes a casa (9)                      Si hay un problema vuelve al hogar
As long as we’re alive, you’re never on your own (12)                     Mientras estemos vivos, nunca estarás solo (11)                   Que nunca sola te vamos a dejar
Leave Benny! (3)                                                          ¡Deja a Benny! (4)                                                Con Benny
Take Benny! (3)                                                           ¡Lleva a Benny! (4)                                               Sin Benny
It doesn’t make any difference, as long as you come home! (13)            No importa, ¡siempre y cuando regreses a casa! (13)                   

[Kevin, spoken]                                                           [Kevin, hablado]                                                  [Kevin, hablado]
Camila (3)                                                                Camila (3)                                                        Camila (3)                 

[Camila]                                                                  [Camila]                                                          [Camila]
No no no no no! (5)                                                       ¡No no no no no! (5)                                              ¡No no no no no! (5)  
Enough lying! (4)                                                         ¡Basta de mentiras! (5)                                           Sin mentiras
Enough screaming! (4)                                                     ¡Basta de gritar! (5)                                             No más gritos
I'm done trying (4)                                                       He terminado de intentar (6)                                      Yo desisto
And I'm leaving it up to you! (8)                                         ¡Y lo dejo en tus manos! (7)                                      
It’s up to you! (4)                                                       ¡Está en tus manos! (5)                                           
I’ll see you both back home! (7)                                          ¡Nos vemos en casa! (6)                                           
Enough! (2)                                                               ¡Basta! (2)                                                       
