LETRA ORIGINAL                                                TRADUCCIÓN CHATGPT                                            
I talk to you, imagining what you'd do (9)                    Te hablo, imaginando lo que harías tú (10)                    
Remembering what we went through (8)                          Recordando por lo que pasamos (9)                             
¡Nueva York! (4)                                              ¡Nueva York! (4)                                             
¡Ay Mamá! (3)                                                 ¡Ay Mamá! (3)                                                
It wasn't like today, you'd say (8)                           No era como hoy, dirías (7)                                   
"Paciencia y fe" (5)                                          "Paciencia y fe" (5)                                          
("Paciencia y fe") (5)                                        ("Paciencia y fe") (5)                                        
"Paciencia y fe" (5)                                          "Paciencia y fe" (5)                                          
("Paciencia y") (4)                                           ("Paciencia y") (4)                                           
Fresh off the boat in America (9)                             Recién llegada en barco a América (10)                        
Freezing in early December (7)                                Congelándonos a principios de diciembre (10)                  
A crowded city in 1943! (8)                                   Una ciudad llena en 1943 (8)                                  
Learning the ropes in America (8)                             Aprendiendo las reglas en América (9)                         
En español, I remember (7)                                    En español, lo recuerdo (7)                                   
Dancing with Mayor La Guardia (7)                             Bailando con el alcalde La Guardia (9)                        
All of society welcoming mami and me! (9)                     Toda la sociedad dando la bienvenida a mami y a mí (11)       
Ha! (1)                                                       ¡Ja! (1)                                                     
You better clean this mess! (6)                               ¡Más te vale limpiar este desastre! (8)                       
Paciencia y fe (5)                                            Paciencia y fe (5)                                            
You better learn inglés! (6)                                  ¡Más te vale aprender inglés! (8)                             
Paciencia y fe (5)                                            Paciencia y fe (5)                                            
You better not be late (6)                                    ¡Más te vale no llegar tarde! (9)                             
You better pull your weight (6)                               ¡Más te vale hacer tu parte! (8)                              
Are you better off than you were (8)                          ¿Estás mejor que antes? (7)                                   
With the birds of La Víbora? (7)                              ¿Con los pájaros de La Víbora? (8)                            
Sharing double beds (5)                                       Compartiendo camas dobles (7)                                 
Trying to catch a break (6)                                   Intentando salir adelante (8)                                 
Struggling with English (6)                                   Luchando con el inglés (7)                                    
Listening to friends (5)                                      Escuchando a los amigos (7)                                   
Finally got a job working as a maid (9)                       Finalmente conseguí trabajo como empleada (10)               
So we cleaned some homes (5)                                  Así que limpiamos casas (7)                                   
Polishing with pride (5)                                      Puliendo con orgullo (7)                                      
Scrubbing the whole of the Upper East Side (10)               Fregando todo el Upper East Side (9)                          
The days into weeks (5)                                       Los días se convierten en semanas (8)                         
The weeks into years (5)                                      Las semanas en años (6)                                       
And here I stayed (4)                                         Y aquí me quedé (5)                                           
And as I feed these birds (7)                                 Y mientras alimento a estos pájaros (9)                       
My hands begin to shake (6)                                   Mis manos empiezan a temblar (9)                              
And as I say these words (6)                                  Y al decir estas palabras (8)                                 
My heart's about to break (6)                                 Mi corazón está a punto de romperse (10)                     
(and ay mamá) (4)                                             (y ay mamá) (4)                                              
And ay mamá (4)                                               Y ay mamá (4)                                                
What do you do when (5)                                       ¿Qué haces cuando (5)                                         
Your dreams come true? (5)                                    Tus sueños se hacen realidad? (7)                             
(And ay mamá) (4)                                             (Y ay mamá) (4)                                              
I've spent my life (4)                                        He pasado mi vida (6)                                         
Inheriting dreams from you (8)                                Heredando sueños de ti (8)                                    
I made it through (4)                                         Lo logré (3)                                                  
I survived, I did it (6)                                      Sobreviví, lo hice (6)                                        
Now do I leave or stay? (6)                                   Ahora, ¿me voy o me quedo? (7)                                
Alright, mamá (4)                                             Muy bien, mamá (5)                                            
Okay (2)                                                      Está bien (3)                                                
Paciencia y fe (5)                                            Paciencia y fe (5)                                            
¡Calor, calor, calor! (6)                                     ¡Calor, calor, calor! (6)                                     
